X,Y
591,906
589,904
589,901
588,901
587,900
584,900
583,899
583,891
581,889
581,884
582,883
585,883
586,882
588,882
589,883
589,884
591,884
592,883
593,883
594,882
594,880
596,878
598,878
599,879
599,883
600,884
600,886
599,887
598,887
597,888
596,888
596,890
594,892
592,892
591,891
589,891
589,894
590,895
590,896
593,896
594,897
594,901
596,901
596,900
597,899
598,899
599,898
599,895
600,894
600,890
601,889
601,887
602,886
604,886
605,885
606,885
607,884
607,882
606,881
606,879
607,878
607,875
606,874
606,871
607,870
608,870
608,865
584,864
584,867
585,868
587,868
587,864
569,864
569,865
568,866
568,868
571,868
572,869
572,873
581,873
582,874
589,874
589,872
587,872
586,871
576,871
575,870
575,868
576,867
578,867
578,865
576,865
575,864
568,855
568,857
572,857
572,855
566,848
566,851
569,851
569,848
587,846
587,850
589,850
589,846
563,841
563,846
565,846
565,841
578,837
578,838
577,839
576,839
575,840
575,844
577,844
578,845
578,847
577,848
577,850
578,851
578,852
580,852
580,851
581,850
581,845
578,845
577,844
577,842
578,841
581,841
581,837
572,831
572,833
573,834
573,835
577,835
577,833
575,833
574,832
574,831
585,829
585,835
588,835
588,833
587,832
587,829
609,817
609,820
608,821
607,821
607,822
606,823
603,823
602,824
602,825
601,826
597,826
596,827
594,827
594,837
595,837
596,838
596,840
598,842
598,844
600,846
600,849
603,849
605,851
605,856
606,857
606,860
609,860
609,859
610,858
610,856
609,855
609,844
610,843
610,835
608,835
608,836
607,837
605,837
604,836
604,834
605,833
609,833
609,830
608,829
608,827
609,826
609,824
610,823
610,822
611,821
611,817
565,810
565,812
567,812
567,810
568,803
568,805
570,805
570,803
567,795
567,798
570,798
570,795
552,778
552,783
558,783
559,784
559,786
561,786
561,781
560,780
560,779
555,779
554,778
572,776
572,782
574,782
574,776
557,773
557,775
559,775
559,773
606,768
606,770
608,770
608,768
600,768
600,771
604,771
604,769
603,769
602,768
563,766
563,768
565,768
565,766
555,759
555,762
557,762
557,759
574,754
574,758
576,758
576,754
557,752
557,756
559,756
559,755
560,754
560,752
553,747
553,749
555,749
555,747
584,737
584,741
586,741
586,737
553,732
553,734
555,734
555,732
553,726
553,728
555,728
555,726
579,714
577,716
573,716
573,722
572,723
572,728
571,729
571,730
570,731
570,732
569,733
569,735
